row,tissue_diff_2nd_analysis
Lsa_00003021,NA
Lsa_00003021,NA
Lsa_00003023,NA
Lsa_00003023,NA
Lsa_00003023,NA
Lsa_00003023,NA
Lsa_00003023,NA
Lsa_00006052,NA
Lsa_00006053,NA
Lsa_00006056,NA
Lsa_00006057,NA
Lsa_00008905,NA
Lsa_00008905,NA
Lsa_00008905,NA
Lsa_00008905,NA
Lsa_00008905,NA
Lsa_00008902,NA
Lsa_00008902,NA
Lsa_00008902,NA
Lsa_00008902,NA
Lsa_00008902,NA
Lsa_00008902,NA
Lsa_00008902,NA
Lsa_00008902,NA
Lsa_00008900,NA
Lsa_00008901,NA
Lsa_00008901,NA
Lsa_00008909,NA
Lsa_00008909,NA
Lsa_00037315,NA
Lsa_00001885,arc
Lsa_00001885,arc
Lsa_00001885,arc
Lsa_00001882,NA
Lsa_00001882,NA
Lsa_00001882,NA
Lsa_00001882,NA
Lsa_00001882,NA
Lsa_00001882,NA
Lsa_00001882,NA
Lsa_00001882,NA
Lsa_00034951,NA
Lsa_00034951,NA
Lsa_00034951,NA
Lsa_00034951,NA
Lsa_00034951,NA
Lsa_00034956,NA
Lsa_00034955,NA
Lsa_00034958,NA
Lsa_00034958,NA
Lsa_00034958,NA
Lsa_00055661,NA
Lsa_00000594,NA
Lsa_00000594,NA
Lsa_00000594,NA
Lsa_00000591,NA
Lsa_00000591,NA
Lsa_00000591,NA
Lsa_00000591,NA
Lsa_00013850,NA
Lsa_00013850,NA
Lsa_00019812,NA
Lsa_00019812,NA
Lsa_00019812,NA
Lsa_00008277,NA
Lsa_00008277,NA
Lsa_00019818,NA
Lsa_00017955,NA
Lsa_00038928,NA
Lsa_00038924,NA
Lsa_00038924,NA
Lsa_00038923,NA
Lsa_00038922,NA
Lsa_00038922,NA
Lsa_00038922,NA
Lsa_00038922,NA
Lsa_00038921,NA
Lsa_00032448,NA
Lsa_00032448,NA
Lsa_00032448,NA
Lsa_00032446,arc
Lsa_00032446,arc
Lsa_00032447,arc
Lsa_00001480,NA
Lsa_00001480,NA
Lsa_00028804,NA
Lsa_00028800,NA
Lsa_00028800,NA
Lsa_00004037,NA
Lsa_00001487,NA
Lsa_00001487,NA
Lsa_00001487,NA
Lsa_00001314,NA
Lsa_00017951,NA
Lsa_00017951,NA
Lsa_00017951,NA
Lsa_00017951,NA
Lsa_00017951,NA
Lsa_00004032,NA
Lsa_00025455,NA
Lsa_00003291,NA
Lsa_00003291,NA
Lsa_00025456,NA
