"","S_pvt_north_temp","S_pvt_spain_temp","S_shared_temp","S_prop_pvt_north_temp","S_prop_pvt_spain_temp","S_count_higher_spain_temp","S_prop_higer_spain_temp"
"283",860,1068,165,0.839024390243902,0.866180048661801,1,1
"284",784,1061,172,0.820083682008368,0.860502838605028,1,1
"285",716,1073,160,0.817351598173516,0.870235198702352,1,1
"286",705,1076,157,0.817865429234339,0.872668288726683,1,1
"287",865,1070,163,0.841439688715953,0.867802108678021,1,1
"288",809,1080,153,0.840956340956341,0.875912408759124,1,1
"289",776,1062,171,0.819429778247096,0.861313868613139,1,1
"290",916,1086,147,0.861712135465663,0.880778588807786,1,1
"291",654,1079,154,0.809405940594059,0.875101378751014,1,1
"292",919,1050,183,0.833938294010889,0.851581508515815,1,1
"293",707,1067,166,0.809851088201604,0.86536901865369,1,1
"294",712,1085,148,0.827906976744186,0.879967558799676,1,1
"295",935,1054,179,0.839317773788151,0.854825628548256,1,1
"296",764,1067,166,0.821505376344086,0.86536901865369,1,1
"297",856,1058,175,0.830261881668283,0.858069748580698,1,1
"298",776,1054,179,0.812565445026178,0.854825628548256,1,1
"299",883,1058,175,0.834593572778828,0.858069748580698,1,1
"300",853,1052,181,0.82495164410058,0.853203568532036,1,1
"301",834,1055,178,0.824110671936759,0.855636658556367,1,1
"302",795,1082,151,0.840380549682875,0.877534468775345,1,1
"303",915,1059,174,0.840220385674931,0.858880778588808,1,1
"304",770,1062,171,0.818278427205101,0.861313868613139,1,1
"305",723,1065,168,0.811447811447811,0.86374695863747,1,1
"306",767,1057,176,0.813361611876988,0.857258718572587,1,1
"307",691,1084,149,0.822619047619048,0.879156528791565,1,1
"308",720,1070,163,0.815402038505096,0.867802108678021,1,1
"309",782,1072,161,0.829268292682927,0.869424168694242,1,1
"310",865,1061,172,0.834136933461909,0.860502838605028,1,1
"311",707,1067,166,0.809851088201604,0.86536901865369,1,1
"312",889,1056,177,0.833958724202627,0.856447688564477,1,1
"313",732,1077,156,0.824324324324324,0.873479318734793,1,1
"314",712,1066,167,0.810011376564278,0.86455798864558,1,1
"315",698,1088,145,0.827995255041518,0.882400648824006,1,1
"316",845,1068,165,0.836633663366337,0.866180048661801,1,1
"317",743,1070,163,0.820088300220751,0.867802108678021,1,1
"318",704,1090,143,0.831168831168831,0.884022708840227,1,1
"319",598,1068,165,0.783748361730013,0.866180048661801,1,1
"320",893,1069,164,0.84484389782403,0.866991078669911,1,1
"321",883,1059,174,0.835383159886471,0.858880778588808,1,1
"322",903,1047,186,0.829201101928375,0.849148418491484,1,1
"323",800,1061,172,0.823045267489712,0.860502838605028,1,1
"324",930,1056,177,0.840108401084011,0.856447688564477,1,1
"325",805,1069,164,0.830753353973168,0.866991078669911,1,1
"326",853,1063,170,0.833822091886608,0.862124898621249,1,1
"327",831,1062,171,0.82934131736527,0.861313868613139,1,1
"328",830,1054,179,0.822596630327057,0.854825628548256,1,1
"329",805,1062,171,0.824795081967213,0.861313868613139,1,1
"330",796,1066,167,0.826583592938733,0.86455798864558,1,1
"331",740,1076,157,0.824972129319955,0.872668288726683,1,1
"332",780,1066,167,0.823653643083421,0.86455798864558,1,1
